Time: 7.830000 Joint Angle [-0.06543,  0.56932,  0.47139, -1.49056, -0.26709,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.845000 Joint Angle [-0.06543,  0.56944,  0.47140, -1.49048, -0.26715,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.860000 Joint Angle [-0.06543,  0.56954,  0.47140, -1.49042, -0.26721,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.875000 Joint Angle [-0.06543,  0.56962,  0.47141, -1.49038, -0.26727,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.890000 Joint Angle [-0.06543,  0.56968,  0.47143, -1.49033, -0.26733,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.905000 Joint Angle [-0.06543,  0.56976,  0.47144, -1.49029, -0.26739,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.920000 Joint Angle [-0.06543,  0.56983,  0.47146, -1.49024, -0.26745,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.935000 Joint Angle [-0.06543,  0.56990,  0.47146, -1.49020, -0.26750,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.950000 Joint Angle [-0.06543,  0.56996,  0.47147, -1.49017, -0.26755,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.965000 Joint Angle [-0.06543,  0.57002,  0.47147, -1.49013, -0.26760,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.980000 Joint Angle [-0.06543,  0.57007,  0.47148, -1.49009, -0.26764,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.995000 Joint Angle [-0.06543,  0.57012,  0.47150, -1.49005, -0.26767,  1.14257,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.010000 Joint Angle [-0.06543,  0.57017,  0.47152, -1.49001, -0.26771,  1.14258,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.025000 Joint Angle [-0.06543,  0.57022,  0.47153, -1.48997, -0.26774,  1.14258,  0.44969] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.040000 Joint Angle [-0.06543,  0.57027,  0.47154, -1.48994, -0.26776,  1.14258,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.055000 Joint Angle [-0.06543,  0.57031,  0.47155, -1.48991, -0.26779,  1.14258,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.070000 Joint Angle [-0.06543,  0.57034,  0.47155, -1.48988, -0.26781,  1.14258,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.085000 Joint Angle [-0.06543,  0.57037,  0.47156, -1.48985, -0.26783,  1.14259,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.100000 Joint Angle [-0.06543,  0.57038,  0.47157, -1.48983, -0.26785,  1.14259,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.115000 Joint Angle [-0.06543,  0.57039,  0.47159, -1.48982, -0.26787,  1.14259,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.130000 Joint Angle [-0.06543,  0.57040,  0.47160, -1.48981, -0.26789,  1.14260,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.145000 Joint Angle [-0.06543,  0.57040,  0.47162, -1.48980, -0.26790,  1.14260,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.160000 Joint Angle [-0.06543,  0.57040,  0.47163, -1.48979, -0.26790,  1.14261,  0.44970] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.175000 Joint Angle [-0.06543,  0.57039,  0.47165, -1.48979, -0.26791,  1.14261,  0.44971] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.190000 Joint Angle [-0.06543,  0.57039,  0.47166, -1.48978, -0.26792,  1.14262,  0.44971] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.205000 Joint Angle [-0.06543,  0.57039,  0.47168, -1.48978, -0.26792,  1.14263,  0.44971] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.220000 Joint Angle [-0.06543,  0.57039,  0.47170, -1.48977, -0.26793,  1.14263,  0.44971] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.235000 Joint Angle [-0.06543,  0.57039,  0.47172, -1.48977, -0.26793,  1.14263,  0.44971] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.250000 Joint Angle [-0.06543,  0.57039,  0.47174, -1.48977, -0.26794,  1.14264,  0.44972] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.265000 Joint Angle [-0.06543,  0.57039,  0.47176, -1.48976, -0.26794,  1.14264,  0.44972] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.280000 Joint Angle [-0.06543,  0.57039,  0.47179, -1.48976, -0.26794,  1.14265,  0.44972] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.295000 Joint Angle [-0.06543,  0.57039,  0.47182, -1.48976, -0.26795,  1.14266,  0.44973] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.310000 Joint Angle [-0.06543,  0.57039,  0.47186, -1.48976, -0.26795,  1.14267,  0.44973] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.325000 Joint Angle [-0.06543,  0.57039,  0.47190, -1.48976, -0.26796,  1.14267,  0.44974] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.340000 Joint Angle [-0.06543,  0.57039,  0.47194, -1.48975, -0.26796,  1.14268,  0.44975] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.355000 Joint Angle [-0.06543,  0.57039,  0.47197, -1.48975, -0.26796,  1.14269,  0.44976] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.370000 Joint Angle [-0.06543,  0.57039,  0.47201, -1.48975, -0.26797,  1.14270,  0.44977] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.385000 Joint Angle [-0.06543,  0.57039,  0.47205, -1.48975, -0.26797,  1.14271,  0.44978] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.400000 Joint Angle [-0.06543,  0.57039,  0.47209, -1.48975, -0.26797,  1.14271,  0.44980] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.415000 Joint Angle [-0.06543,  0.57039,  0.47213, -1.48975, -0.26798,  1.14272,  0.44981] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.430000 Joint Angle [-0.06543,  0.57039,  0.47218, -1.48975, -0.26798,  1.14273,  0.44984] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.445000 Joint Angle [-0.06543,  0.57039,  0.47223, -1.48974, -0.26798,  1.14274,  0.44987] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.460000 Joint Angle [-0.06543,  0.57039,  0.47228, -1.48974, -0.26798,  1.14275,  0.44991] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
