Time: 7.845000 Joint Angle [ 0.07437,  0.54359,  0.25710, -1.48818, -0.13300,  1.12279,  0.34886] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.860000 Joint Angle [ 0.07437,  0.54366,  0.25710, -1.48813, -0.13300,  1.12279,  0.34887] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.875000 Joint Angle [ 0.07437,  0.54374,  0.25710, -1.48809, -0.13300,  1.12279,  0.34888] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.890000 Joint Angle [ 0.07437,  0.54383,  0.25710, -1.48804, -0.13300,  1.12279,  0.34889] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.905000 Joint Angle [ 0.07437,  0.54391,  0.25710, -1.48798, -0.13300,  1.12279,  0.34889] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.920000 Joint Angle [ 0.07437,  0.54401,  0.25711, -1.48792, -0.13300,  1.12279,  0.34890] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.935000 Joint Angle [ 0.07437,  0.54411,  0.25711, -1.48785, -0.13300,  1.12279,  0.34890] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.950000 Joint Angle [ 0.07437,  0.54421,  0.25711, -1.48778, -0.13300,  1.12279,  0.34891] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.965000 Joint Angle [ 0.07437,  0.54429,  0.25711, -1.48772, -0.13300,  1.12279,  0.34891] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.980000 Joint Angle [ 0.07437,  0.54436,  0.25711, -1.48767, -0.13300,  1.12279,  0.34891] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.995000 Joint Angle [ 0.07437,  0.54441,  0.25711, -1.48762, -0.13300,  1.12279,  0.34892] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.010000 Joint Angle [ 0.07437,  0.54445,  0.25711, -1.48758, -0.13300,  1.12279,  0.34892] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.025000 Joint Angle [ 0.07437,  0.54448,  0.25711, -1.48754, -0.13300,  1.12279,  0.34892] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
